epochs 	 n_batch 	 neurons
100	1	1
train 	 val 	 test
1379057.088758 	 1379057.088758 	 1213636.792390

epochs 	 n_batch 	 neurons
100	1	2
train 	 val 	 test
105960308.080209 	 74147973.843615 	 42263895.633560

epochs 	 n_batch 	 neurons
100	1	3
train 	 val 	 test
114109476.610045 	 89575842.694864 	 22272564.133636

epochs 	 n_batch 	 neurons
100	1	4
train 	 val 	 test
110466726.023555 	 77554435.885231 	 32705484.481089

epochs 	 n_batch 	 neurons
100	1	5
train 	 val 	 test
107533660.928481 	 76589490.125255 	 51112833.019049

epochs 	 n_batch 	 neurons
100	1	6
train 	 val 	 test
100055353.082682 	 73832761.136312 	 23548355.536615

epochs 	 n_batch 	 neurons
100	1	7
train 	 val 	 test
95219218.672799 	 52757238.088747 	 36104549.798780

Melhor combinacao:
epochs 	 n_batch 	 neurons
100 	 1 	 1train 	 val 	 test
1379057.088758 	 1379057.088758 	 1213636.792390
